Canadian Province/CMA,Gender,Mother tongue,Population,Province
Halifax,Women+,"Austronesian languages, n.i.e.",30,Nova Scotia
Halifax,Women+,"Creole languages, n.i.e.",35,Nova Scotia
Halifax,Women+,Kannada,25,Nova Scotia
Halifax,Women+,Malayalam,195,Nova Scotia
Halifax,Women+,Tamil,135,Nova Scotia
Halifax,Women+,Telugu,155,Nova Scotia
Halifax,Women+,Albanian,50,Nova Scotia
Halifax,Women+,Slavic languages,330,Nova Scotia
Halifax,Women+,Bulgarian,15,Nova Scotia
Halifax,Women+,Russian,260,Nova Scotia
Halifax,Women+,Serbo-Croatian,20,Nova Scotia
Halifax,Women+,Serbian,20,Nova Scotia
Halifax,Women+,Ukrainian,15,Nova Scotia
Halifax,Women+,German,25,Nova Scotia
